row_id,company_name,job_title,average_salary,company_age
128,"Expedition Technology, Inc.",Machine Learning Engineer,99,7
129,Exponent,Human Factors Scientist,154,53
130,FHLBank Pittsburgh,Diversity and Inclusion Data Analyst,120,88
131,FM Systems,Data Scientist,113,36
132,"Farmer's Business Network, Inc.",Data Scientist,106,6
133,First Health Group,Data Scientist,114,167
134,Fleetcor,Data Scientist,43,20
135,Formation,Data Scientist,154,5
136,Foundation Medicine,Data Scientist,136,10
137,"Fullpower Technologies, Inc.",Data Scientist / Applied Mathematician,126.5,17
138,GNS Healthcare,Data Scientist,99,20
139,GSK,Data Scientist,106,190
140,GSK,"Development Scientist, Voltaren",185,190
141,Gallup,Data Scientist,107,85
142,Gap Inc.,Data Scientist,107,51
143,Genentech,Statistical Scientist,76,44
144,General Dynamics Information Technology,Computational Scientist,133,24
145,Genesis Research,Real World Evidence (RWE) Scientist,107,11
146,Geotab,Data Scientist,114,20
147,GetWellNetwork,Data Engineer,115,20
148,Gigya,Data Scientist,107,14
149,Giving Assistant,Data Analyst,103,6
150,Global Data Management Inc,Data Scientist,97,12
151,GovTech,Data Scientist,108,4
152,Great-Circle Technologies,Data Scientist,103,20
153,GreatAmerica Financial Services,Analytics - Business Assurance Data Analyst,140.6666666666666667,28
154,Grid Dynamics,Data Scientist,74,14
155,Group O,Senior Data Scientist,164,46
156,Guardian Life,Business Intelligence Analyst I- Data Insights,154,160
157,GutCheck,Market Research Data Scientist,136,11
158,GutCheck,Senior Data Scientist,125.5,11
159,Guzman & Griffin Technologies (GGTI),Experienced Data Scientist,143.5,23
160,HAN IT Staffing Inc.,Data Scientist,89,8
161,HG Insights,Data Scientist,129.5,10
162,HP Inc.,Lead Data Scientist,115,81
163,HPOne,Data Scientist,92,14
164,Healthfirst,"Data Engineer, Enterprise Analytics",105,27
165,Healthfirst,Sr Data Scientist,154,27
166,Hexagon US Federal,Data Scientist,203.5,10
167,Hive (CA),Data Scientist,106,1
168,Huxley,Data Scientist,113,25
169,IBM,Data Scientist- Industrial Discrete Sector Industry,92,109
170,ICW Group,Data Scientist,164,48
171,IFG Companies,Data Scientist,105,35
172,II-VI Incorporated,Data Scientist,97,49
173,INFICON,Data Scientist,154,20
174,ISO New England,Data Integration and Modeling Engineer,99,23
175,"ISYS Technologies, Inc.",Data Scientist,114,30
176,IZEA,Data Engineer,107,14
177,IZEA,Data Engineer (Remote),105,14
178,Indigo Slate,Data Scientist,114,14
179,Infinitive Inc,Data Scientist,89,23
180,Inland Empire Health Plan,Developer III - Data Science,148,24
181,Insider Inc,Data Scientist,107,13
182,"Insight Enterprises, Inc.",Data Analyst II,154,32
183,Intellectual Ventures,Data Scientist,108,20
184,Inter-American Development Bank,Applied Technology Researcher / Data Scientist,115,61
185,Intuit - Data,Staff Data Scientist,115,37
186,Intuit - Data,Staff Data Scientist - Analytics,134.5,37
187,InvenTech Info,Data Scientist,161,10
188,Itlize Global,Data Scientist,120,10
189,Jacobs,Data Scientist,120,73
190,Jane Street,Machine Learning Engineer/Scientist,109.5,20
191,Jobot,Data Scientist,120,2
192,Johns Hopkins University Applied Physics Laboratory,Decision Scientist,94.3333333333333333,78
193,Juniper Networks,Sr. ML/Data Scientist - AI/NLP/Chatbot,116.6666666666666667,24
194,KeHE Distributors,Data Scientist,123,66
195,Kelly,Data Scientist,133,74
196,Kforce,Data Scientist,89,54
197,Kingfisher Systems,Data Engineer,150,15
198,Kingfisher Systems,Data Scientist,169.5,15
199,Klaviyo,Data Science Software Engineer,150,8
200,Klaviyo,Data Scientist,120,8
201,Klaviyo,Machine Learning Engineer,105,8
202,Klaviyo,Senior Data Scientist,119.5,8
203,Knowesis Inc.,Data Scientist,92,13
204,LSQ,Data Architect,164,24
205,LSQ,Data Scientist - Risk,125.5,24
206,Lawrence Livermore National Lab,Data Scientist,120,68
207,Leidos,Data Scientist,133,51
208,Leidos,Data Scientist Machine Learning,183,51
209,Lendio,Senior Data Engineer,99,9
210,Liberty Mutual Insurance,Data Solutions Engineer - Data Modeler,136,108
211,Liberty Mutual Insurance,Machine Learning Engineer,103,108
212,Life360,Senior Data Analyst,86.5,12
213,LifeOmic,Senior Machine Learning Engineer,142,4
214,Lightspeed Systems,Data Scientist,134.5,21
215,LinQuest,Data Scientist,43,16
216,"MILVETS Systems Technology, Inc.",Data Scientist,89,34
217,MIT Lincoln Laboratory,Data Scientist-Human Resources,137,69
218,MITRE,AI Data Scientist,99,62
219,MITRE,Aviation AI/ML Data Scientist,164,62
220,MITRE,Lead Data Scientist – Network Analysis and Control,148,62
221,Mackin,Data Scientist,183,60
222,Magna International Inc.,Data Engineer,133,63
223,ManTech,Data Scientist,154,52
224,ManTech,Senior Data Scientist,109.5,52
225,Market America Inc,Data Scientist,183,28
226,Mars,Data Scientist,126.5,109
227,Mars,"Data Scientist, Kinship - NYC/Portland",119,109
228,MassMutual,Data Modeler (Analytical Systems),98.3333333333333333,169
229,MassMutual,Lead Data Scientist,91.5,169
230,Mathematica Policy Research,Data Scientist,134.5,34
231,Maven Wave Partners,Data Scientist,106,12
232,Mentor Graphics,"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",136,39
233,Meridian Knowledge Solutions,Data Scientist,106,23
234,Metromile,Senior Data Scientist,185,9
235,"Metronome, LLC",Data Scientist,120,9
236,Midland Credit Management,Data Analyst,133,67
237,MoTek Technologies,Data Scientist,92,11
238,Montway Inc,Business Intelligence Analyst,115,14
239,Moxie Software,Data Scientist,123,21
240,Mteq,Machine Learning Engineer,102.5,66
241,Murray Resources,Data Scientist,110.5,32
242,NAVEX Global,Data Scientist,99,8
243,NYSTEC,Clinical Data Analyst,164,24
244,Natera,Production Engineer - Statistics/Data Analysis,76,16
245,Navy Federal Credit Union,Cloud Data Engineer (Azure),142,87
246,Navy Federal Credit Union,Enterprise Data Analyst (Enterprise Portfolio Management Office),148,87
247,Net2Source Inc.,Data Scientist,92,13
248,Netskope,Data Scientist,118.5,8
249,New England Biolabs,Purification Scientist,105,46
250,"New Iron Group, Inc.",Applied AI Scientist / Engineer,114,17
251,New Relic,Software Engineer - Machine Learning & Data Science (Applied Intelligence Services Team),164,12
252,New York Technology Partners,Data Scientist,107,21
253,Noblis,Data Scientist,115,24
254,Noblis,Data Scientist/Data Analytics Practitioner,114,24
255,Nolij Consulting,Data Analyst,120.5,8
256,Notion Labs,Data Scientist,99,4
257,Novartis,Data Scientist / Machine Learning Expert,128.5,24
258,Novartis,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",99,24
259,Novetta,Data Science Instructor,92,8
260,Novetta,Data Scientist,143.5,8
261,Novetta,Senior Data Analyst,142,8
262,Novetta,Senior Data Scientist,115,8
263,Ntrepid,Computational Behavioral Scientist,91.5,10
264,NuWave Solutions,Machine Learning Engineer,105,21
265,Object Partners,Data Engineer,105,24
266,Offerpad,Data Scientist,133,5
267,Old World Industries,Data Modeler,154,47
268,OneMagnify,Analytics Manager,99,53
269,Opendoor,Staff Data Scientist - Pricing,97,6
270,OppLoans,Data Science Analyst,89,8
271,Oshkosh Corporation,Data Scientist,183,103
272,Ovative Group,Data Scientist,106,11
273,Oversight Systems,Data Scientist,130.5,17
274,PNNL,"Data Scientist - Statistics, Early Career",115,55
275,Pacific Northwest National Laboratory,"Data Scientist - Statistics, Mid-Career",120,55
276,Paige,"Data Engineer, Digital & Comp Pathology",120,2
277,Parker Hannifin,Data Scientist,107,103
278,Peraton,Data Scientist Technical Specialist,164,3
279,Perspecta,Data Scientist,125,2
280,Pfizer,"Computational Scientist, Machine Learning",103,171
281,Phantom AI,Data Engineer,115,4
282,Phoenix Operations Group,Data Scientist - TS/SCI FSP or CI Required,93.75,9
283,Phoenix Operations Group,Data Scientist - TS/SCI Required,107.3333333333333333,9
284,Photon Infotech,Data Scientist,97,21
285,Plymouth Rock Assurance,Data Scientist,99,38
286,Postmates - Corporate HQ,Data Scientist,132,9
287,Powertek,Data Scientist,97,19
288,"Pragmatics, Inc.",Data Scientist,74.5,35
289,Praxis Engineering,Data Scientist,88.5,18
290,Procore Technologies,Data Engineer,99,18
291,"Progress Rail, A Caterpillar Company",Data Scientist,114,37
292,Protolabs,Senior Business Intelligence Analyst,89.6666666666666667,21
293,Puget Sound Energy,Associate Data Scientist,111.5,21
294,PulsePoint,Data Scientist/Machine Learning,125.5,9
295,QOMPLX,Data Analytics Engineer,115,5
296,Quartet Health,Senior Data Scientist - Algorithms,133,6
297,Quest Integrity,In-Line Inspection Data Analyst,67.5,24
298,Quick Base,Data Scientist,108.5,21
299,REE,Data Scientist,97,2
300,Rapid Value Solutions,Data Scientist,107,11
