job_title,salary_estimate,rating,company_name,location,headquarters,size,ownership_type,industry,sector,revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadloop,spark,aws,tableau,big_data,job_simp,seniority
Data Analyst,95-119 ,3.9,Nolij Consulting,"Falls Church, VA","Vienna, VA",51 to 200 employees,Company - Public,Consulting,Business Services,$1 to $5 million (USD),95,119,107, VA,false,8,true,true,false,false,false,true,false,analyst,false
Data Scientist,95-119 ,3.4,Dice.com,"Newton, MA","Denver, CO",201 to 500 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),95,119,107, MA,false,30,true,true,false,false,true,false,false,data scientist,false
Data Scientist,95-119 ,3.5,Gap Inc.,"San Francisco, CA","San Francisco, CA",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),95,119,107, CA,true,51,true,false,false,true,false,false,true,data scientist,false
Data Scientist,95-119 ,4.7,"Tygart Technology, Inc","Washington, DC","Fairmont, WV",1 to 50 employees,Company - Private,-1,-1,$1 to $5 million (USD),95,119,107, DC,false,-1,true,true,true,false,false,false,true,data scientist,false
Data Scientist,95-119 ,0.0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,false,-1,true,false,false,true,true,false,false,data scientist,false
Data Scientist,95-119 ,0.0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,false,-1,true,false,false,true,true,false,false,data scientist,false
Data Scientist,95-119 ,0.0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,false,-1,true,false,false,true,true,false,false,data scientist,false
Data Scientist,95-119 ,0.0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,false,-1,true,false,false,true,true,false,false,data scientist,false
Data Scientist,95-119 ,0.0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,false,-1,true,false,false,true,true,false,false,data scientist,false
Data Scientist,95-119 ,0.0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,false,-1,true,false,false,true,true,false,false,data scientist,false
Data Scientist,95-119 ,4.6,Murray Resources,"The Woodlands, TX","Houston, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),95,119,107, TX,false,32,true,true,true,false,false,true,false,data scientist,false
IT Partner Digital Health Technology and Data Science,128-201 ,3.6,Biogen,"Cambridge, MA","Cambridge, MA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),128,201,164, MA,true,42,false,true,false,false,false,false,false,na,false
Data Scientist,128-201 ,0.0,HireAi,"San Francisco, CA",-1,-1,-1,-1,-1,-1,128,201,164, CA,false,-1,true,true,false,true,false,true,false,data scientist,false
"Senior Machine Learning Scientist - Bay Area, CA",128-201 ,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,128,201,164, CA,false,5,true,false,false,false,true,false,false,mle,false
Data Scientist,128-201 ,3.3,ICW Group,"San Diego, CA","San Diego, CA",501 to 1000 employees,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),128,201,164, CA,true,48,true,false,false,false,false,false,false,data scientist,false
Data Scientist,95-119 ,4.0,New York Technology Partners,"Seattle, WA","Jersey City, NJ",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),95,119,107, WA,false,21,true,true,true,true,true,false,false,data scientist,false
Data Scientist,95-119 ,4.0,Two95 International Inc.,"Chicago, IL","Cherry Hill, NJ",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),95,119,107, IL,false,-1,true,false,false,false,false,false,false,data scientist,false
Data Scientist,95-119 ,0.0,Sophinea,"Chantilly, VA",-1,1 to 50 employees,Unknown,-1,-1,Unknown / Non-Applicable,95,119,107, VA,false,-1,false,false,false,false,false,false,false,data scientist,false
Data Scientist,95-119 ,4.7,CRS Group,"Chicago, IL","Itasca, IL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),95,119,107, IL,false,26,false,false,false,false,false,false,false,data scientist,false
Data Scientist,95-119 ,3.5,Blackstone Talent Group,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),95,119,107, CA,true,22,true,false,false,false,true,false,false,data scientist,false
Data Scientist - TS/SCI Required,95-119 ,5.0,Phoenix Operations Group,"Baltimore, MD","Woodbine, MD",1 to 50 employees,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),95,119,107, MD,false,9,true,false,false,true,false,false,true,data scientist,false
Senior Principal Data Scientist (Python/R),212-331 ,4.1,Roche,"Pleasanton, CA","Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),212,331,271, CA,false,124,true,true,true,true,false,false,true,data scientist,false
"Real World Science, Data Scientist",212-331 ,4.0,AstraZeneca,"Wilmington, DE","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),212,331,271, DE,false,107,true,false,true,false,false,false,false,data scientist,false
Clinical Data Analyst,128-201 ,3.8,NYSTEC,"New York, NY","Rome, NY",51 to 200 employees,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),128,201,164, NY,false,24,true,false,false,false,false,false,false,analyst,false
Data Scientist,128-201 ,4.5,E3 Federal Solutions,"Chantilly, VA","McLean, VA",501 to 1000 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,128,201,164, VA,false,16,false,false,true,false,false,false,true,data scientist,false
Data Scientist,212-331 ,3.6,Creative Circle,United States,"Los Angeles, CA",201 to 500 employees,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,212,331,271,US,false,18,true,false,false,false,false,false,false,data scientist,false
Data Scientist(s)/Machine Learning Engineer,212-331 ,5.0,Blue Horizon Tek Solutions,"New York, NY","Coconut Creek, FL",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,212,331,271, NY,false,33,true,true,false,false,false,false,false,data scientist,false
Senior Data Scientist,212-331 ,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),212,331,271, VA,false,-1,true,true,false,false,false,false,true,data scientist,false
Data Scientist,212-331 ,4.7,Sharpedge Solutions Inc,"Seattle, WA","Lombard, IL",Unknown,Company - Private,Publishing,Media,Less than $1 million (USD),212,331,271, WA,false,-1,true,true,true,true,true,false,false,data scientist,false
Data Scientist,212-331 ,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),212,331,271, VA,false,-1,true,false,true,true,false,true,false,data scientist,false
Data Scientist,212-331 ,3.6,Alaka`ina Foundation Family of Companies,"Fort Sam Houston, TX","Honolulu, HI",501 to 1000 employees,Government,-1,-1,Unknown / Non-Applicable,212,331,271, TX,false,-1,true,false,false,false,false,false,false,data scientist,false
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,212-331 ,3.9,Southwest Research Institute,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),212,331,271, OK,false,73,true,true,false,false,false,false,false,na,false
Data Scientist,212-331 ,2.7,Hexagon US Federal,"Lexington Park, MD","Chantilly, VA",51 to 200 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,212,331,271, MD,false,10,false,true,false,false,true,false,false,data scientist,false
Data Science Software Engineer,212-331 ,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,212,331,271, MA,true,8,true,false,false,false,false,false,false,na,false
